,year,adult,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,genres,budget,revenue,best_picture_winner
210,2017,False,339403,en,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",7.8363,2017-06-28,baby driver,7.4,16364,"[""'Action'"", "" 'Crime'""]",34000000,226945087,False
211,2017,False,181808,en,Star Wars: The Last Jedi,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",7.5456,2017-12-13,star wars: the last jedi,6.765,15897,"[""'Adventure'"", "" 'Action'"", "" 'Science Fiction'""]",300000000,1332698830,False
212,2017,False,321612,en,Beauty and the Beast,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,8.8184,2017-03-16,beauty and the beast,6.969,15816,"[""'Family'"", "" 'Fantasy'"", "" 'Romance'""]",160000000,1266115964,False
213,2017,False,335984,en,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",12.9585,2017-10-04,blade runner 2049,7.587,14524,"[""'Science Fiction'"", "" 'Drama'""]",150000000,259239658,False
214,2017,False,353486,en,Jumanji: Welcome to the Jungle,"Four teenagers in detention discover an old video game console with a game they’ve never heard of. When they decide to play, they are immediately sucked into the jungle world of Jumanji in the bodies of their avatars. They’ll have to complete the adventure of their lives filled with fun, thrills and danger or be stuck in the game forever!",5.1349,2017-12-09,jumanji: welcome to the jungle,6.819,14122,"[""'Adventure'"", "" 'Comedy'"", "" 'Fantasy'"", "" 'Action'"", "" 'Family'""]",90000000,995339117,False
215,2017,False,324552,en,John Wick: Chapter 2,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",10.514,2017-02-08,john wick: chapter 2,7.339,13778,"[""'Action'"", "" 'Thriller'"", "" 'Crime'""]",40000000,171539887,False
216,2017,False,141052,en,Justice League,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",6.6144,2017-11-15,justice league,6.074,13369,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",300000000,661326987,False
217,2017,False,399055,en,The Shape of Water,"An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape.",7.4262,2017-12-01,the shape of water,7.24,12524,"[""'Drama'"", "" 'Fantasy'"", "" 'Romance'""]",19500000,195300000,True
218,2017,False,398818,en,Call Me by Your Name,"In the summer of 1983, a 17-year-old Elio spends his days in his family's villa in Italy. One day Oliver, a graduate student, arrives to assist Elio's father, a professor of Greco-Roman culture. Soon, Elio and Oliver discover a summer that will alter their lives forever.",7.2628,2017-07-28,call me by your name,8.103,12489,"[""'Romance'"", "" 'Drama'""]",3500000,43143046,False
219,2017,False,166426,en,Pirates of the Caribbean: Dead Men Tell No Tales,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.",11.8592,2017-05-23,pirates of the caribbean: dead men tell no tales,6.652,12472,"[""'Adventure'"", "" 'Action'"", "" 'Fantasy'""]",230000000,795922298,False
220,2017,False,293167,en,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",6.3801,2017-03-08,kong: skull island,6.548,10857,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",185000000,566652812,False
221,2017,False,343668,en,Kingsman: The Golden Circle,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world.",6.152,2017-09-20,kingsman: the golden circle,6.952,10824,"[""'Action'"", "" 'Adventure'"", "" 'Comedy'"", "" 'Crime'""]",104000000,410902662,False
222,2017,False,337339,en,The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",7.081,2017-04-12,the fate of the furious,6.862,10595,"[""'Action'"", "" 'Crime'"", "" 'Thriller'""]",250000000,1236000000,False
223,2017,False,359940,en,"Three Billboards Outside Ebbing, Missouri","After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",4.3765,2017-12-01,"three billboards outside ebbing, missouri",8.061,10551,"[""'Crime'"", "" 'Drama'""]",15000000,162729321,False
224,2017,False,392044,en,Murder on the Orient Express,Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.,5.6787,2017-11-03,murder on the orient express,6.704,10282,"[""'Mystery'"", "" 'Drama'"", "" 'Crime'""]",55000000,352800000,False
225,2017,False,316029,en,The Greatest Showman,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",5.6481,2017-12-20,the greatest showman,7.869,9784,"[""'Drama'""]",84000000,459066134,False
226,2017,False,281338,en,War for the Planet of the Apes,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",5.259,2017-07-11,war for the planet of the apes,7.2,9434,"[""'Drama'"", "" 'Science Fiction'"", "" 'War'""]",150000000,490719763,False
